Item,Value,comment1,GPIO_pin
PIN_CSI_CFG_CSI,1,(HSI_GPIO[0..5]),HSI_GPIO0[]|HSI_GPIO1[]|HSI_GPIO2[]|HSI_GPIO3[]|HSI_GPIO4[]|HSI_GPIO5[]
PIN_CSI_CFG_CSI2,16,(HSI_GPIO[6..11]),HSI_GPIO6[]|HSI_GPIO7[]|HSI_GPIO8[]|HSI_GPIO9[]|HSI_GPIO10[]|HSI_GPIO11[]
PIN_CSI_CFG_CSI3,256,(HSI_GPIO[12..17]),HSI_GPIO12[]|HSI_GPIO13[]|HSI_GPIO14[]|HSI_GPIO15[]|HSI_GPIO16[]|HSI_GPIO17[]
PIN_CSI_CFG_CSI4,4096,(HSI_GPIO[18..23]),HSI_GPIO18[]|HSI_GPIO19[]|HSI_GPIO20[]|HSI_GPIO21[]|HSI_GPIO22[]|HSI_GPIO23[]
,,,
PIN_REMOTE_CFG_NONE,0,,
PIN_REMOTE_CFG_REMOTE_1,1,(P_GPIO[17]),P_GPIO17[]
PIN_REMOTE_CFG_REMOTE_2,2,(C_GPIO[15]),C_GPIO15[]
PIN_REMOTE_CFG_REMOTE_3,4,(D_GPIO[2]),D_GPIO2[]
PIN_REMOTE_CFG_REMOTE_EXT_1,32,(P_GPIO[9]),P_GPIO9[]
,,,
PIN_SDP_CFG_NONE,0,,
PIN_SDP_CFG_SDP_1,1,SDP_1 (C_GPIO[12..16]),C_GPIO12[]|C_GPIO13[]|C_GPIO14[]|C_GPIO15[]|C_GPIO16[]
PIN_SDP_CFG_SDP_2,2,SDP_2 (P_GPIO[4..8]),P_GPIO4[]|P_GPIO5[]|P_GPIO6[]|P_GPIO7[]|P_GPIO8[]
,,,
PIN_SPI_CFG_NONE,0,,
PIN_SPI_CFG_SPI_1,1,SPI_1  (C_GPIO[18..20])  BUS_WIDTH (C_GPIO[21]),C_GPIO18[]|C_GPIO19[]|C_GPIO20[]|C_GPIO21[]
PIN_SPI_CFG_SPI_2,2,SPI1_2 (S_GPIO[9..11])  BUS_WIDTH (S_GPIO[12]),S_GPIO9[]|S_GPIO10[]|S_GPIO11[]|S_GPIO12[]
PIN_SPI_CFG_SPI_3,4,SPI1_3 (P_GPIO[8..10])    BUS_WIDTH (P_GPIO[11]),P_GPIO8[]|P_GPIO9[]|P_GPIO10[]|P_GPIO11[]
PIN_SPI_CFG_SPI_BUS_WIDTH,8,,
PIN_SPI_CFG_SPI2_1,16,SPI2_1 (P_GPIO[13..15])  BUS_WIDTH (P_GPIO[16]),P_GPIO13[]|P_GPIO14[]|P_GPIO15[]|P_GPIO16[]
PIN_SPI_CFG_SPI2_BUS_WIDTH,32,,
PIN_SPI_CFG_SPI3_1,256,SPI3_1 (P_GPIO[17..19])  BUS_WIDTH (P_GPIO[20]),P_GPIO17[]|P_GPIO18[]|P_GPIO19[]|P_GPIO20[]
PIN_SPI_CFG_SPI3_2,512,SPI3_2 (C_GPIO[12..14])  BUS_WIDTH (C_GPIO[15]),C_GPIO12[]|C_GPIO13[]|C_GPIO14[]|C_GPIO15[]
PIN_SPI_CFG_SPI3_BUS_WIDTH,1024,,
PIN_SPI_CFG_SPI4_1,4096,SPI4_1 (P_GPIO[0..3])  BUS_WIDTH (P_GPIO[4]),P_GPIO0[]|P_GPIO1[]|P_GPIO2[]|P_GPIO3[]|P_GPIO4[]
PIN_SPI_CFG_SPI4_2,8192,SPI4_2 (C_GPIO[4..6])    BUS_WIDTH (C_GPIO[7]),C_GPIO4[]|C_GPIO5[]|C_GPIO6[]|C_GPIO7[]
PIN_SPI_CFG_SPI4_BUS_WIDTH,16384,,
PIN_SPI_CFG_SPI5_1,65536,SPI5_1 (P_GPIO[4..6])  BUS_WIDTH (P_GPIO[7]),P_GPIO4[]|P_GPIO5[]|P_GPIO6[]|P_GPIO7[]
PIN_SPI_CFG_SPI5_2,131072,SPI5_2 (D_GPIO[11..13]]) BUS_WIDTH (D_GPIO[14]),D_GPIO11[]|D_GPIO12[]|D_GPIO13[]|D_GPIO14[]
PIN_SPI_CFG_SPI5_BUS_WIDTH,262144,,
PIN_SPI_CFG_SPI3_RDY_1,1048576,SPI3RDY_1 (P_GPIO[12]),P_GPIO12[]
PIN_SPI_CFG_SPI3_RDY_2,2097152,SPI3RDY_2 (C_GPIO[16]),C_GPIO16[]
,,,
PIN_SIF_CFG_NONE,0,,
PIN_SIF_CFG_SIF0_1,1,SIF0_1 (S_GPIO[4..6]),S_GPIO4[]|S_GPIO5[]|S_GPIO6[]
PIN_SIF_CFG_SIF1_1,16,SIF1_1 (S_GPIO[9..11]),S_GPIO9[]|S_GPIO10[]|S_GPIO11[]
PIN_SIF_CFG_SIF2_1,256,SIF2_1 (L_GPIO[22..24]),L_GPIO22[]|L_GPIO23[]|L_GPIO24[]
PIN_SIF_CFG_SIF2_2,512,SIF2_2 (P_GPIO[18..20]),P_GPIO18[]|P_GPIO19[]|P_GPIO20[]
PIN_SIF_CFG_SIF2_3,1024,SIF3_3 (D_GPIO[8..10]),D_GPIO8[]|D_GPIO9[]|D_GPIO10[]
PIN_SIF_CFG_SIF3_1,4096,SIF3_1 (P_GPIO[13..15]),P_GPIO13[]|P_GPIO14[]|P_GPIO15[]
,,,
PIN_MISC_CFG_NONE,0,,
PIN_MISC_CFG_RTC_CLK_1,1,RTC_CLK_1     (P_GPIO[1]),P_GPIO1[]
PIN_MISC_CFG_SP_CLK_1,16,SP_CLK_1  (P_GPIO[17]),P_GPIO17[]
PIN_MISC_CFG_SP_CLK_2,32,SP_CLK_1  (L_GPIO[23]),L_GPIO23[]
PIN_MISC_CFG_SP_CLK_3,64,SP_CLK_1  (D_GPIO[3]),D_GPIO3[]
PIN_MISC_CFG_SP2_CLK_1,256,SP2_CLK_1 (P_GPIO[18]),P_GPIO18[]
PIN_MISC_CFG_SP2_CLK_2,512,SP2_CLK_1 (C_GPIO[9]),C_GPIO9[]
